peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
190	6005	550.01707	941848	0.0091	9.49	-1
191	6005	550.26734	527866	0.0092	5.32	-1
192	6005	550.51802	330340	0.0096	3.33	-1
193	6005	553.29491	212025	0.011	2.14	-1
194	6005	554.95027	1236179	0.0094	12.46	-1
195	6005	555.27103	244257	0.0085	2.46	-1
196	6005	555.28431	909724	0.0102	9.17	-1
197	6005	555.34681	581252	0.0103	5.86	-1
198	6005	555.52232	361275	0.01	3.64	-1
199	6005	555.61915	405540	0.0099	4.09	-1
200	6005	556.74528	210253	0.009	2.12	-1
201	6005	556.78842	219593	0.0087	2.21	-1
202	6005	557.24675	255652	0.0099	2.58	-1
203	6005	557.36242	575577	0.0095	5.8	-1
204	6005	557.9861	1236698	0.01	12.46	-1
205	6005	558.30346	461593	0.0104	4.65	-1
206	6005	558.32058	1412482	0.0094	14.23	-1
207	6005	558.38227	253979	0.0095	2.56	-1
208	6005	558.65456	262304	0.0088	2.64	-1
209	6005	559.49531	203731	0.0088	2.05	-1
210	6005	559.6948	230157	0.0095	2.32	-1
211	6005	559.78123	244972	0.0094	2.47	-1
212	6005	560.03235	480304	0.0098	4.84	-1
213	6005	560.77313	219533	0.0113	2.21	-1
214	6005	560.80099	373136	0.0097	3.76	-1
215	6005	561.27594	223061	0.0094	2.25	-1
216	6005	561.2972	728971	0.009	7.35	-1
217	6005	561.79935	287203	0.0106	2.89	-1
218	6005	562.30592	278417	0.0115	2.81	-1
219	6005	562.63942	295679	0.0098	2.98	-1
220	6005	562.94208	235033	0.0109	2.37	-1
221	6005	562.97347	248001	0.0128	2.5	-1
222	6005	563.27826	1282829	0.0104	12.93	-1
223	6005	563.61131	387574	0.0092	3.91	-1
224	6005	564.48753	202139	0.0104	2.04	-1
225	6005	565.82098	391948	0.0091	3.95	-1
226	6005	566.32452	205283	0.0093	2.07	-1
227	6005	570.62431	255917	0.0097	2.58	-1
228	6005	571.28736	471860	0.0105	4.75	-1
229	6005	571.38872	251587	0.0114	2.54	-1
230	6005	571.62142	279024	0.009	2.81	-1
231	6005	571.77401	551625	0.0103	5.56	-1
232	6005	571.95597	242098	0.0104	2.44	-1
233	6005	571.9728	489441	0.0092	4.93	-1
234	6005	572.02451	346420	0.0107	3.49	-1
235	6005	572.27516	261809	0.0102	2.64	-1
236	6005	572.30761	607754	0.0116	6.12	-1
237	6005	574.81675	212783	0.0088	2.14	-1
238	6005	575.31839	806997	0.0096	8.13	-1
239	6005	576.5511	199349	0.009	2.01	-1
240	6005	576.79649	1091919	0.0098	11	-1
241	6005	577.04682	1281531	0.0105	12.91	-1
242	6005	577.29752	811749	0.0107	8.18	-1
243	6005	577.54665	239401	0.0089	2.41	-1
244	6005	578.33691	548033	0.0108	5.52	-1
245	6005	578.77616	273225	0.0102	2.75	-1
246	6005	578.83897	331360	0.0102	3.34	-1
247	6005	579.0276	464191	0.0113	4.68	-1
248	6005	579.27562	317037	0.0096	3.19	-1
249	6005	579.53502	3962314	0.0108	39.93	-1
250	6005	579.62976	7917912	0.0104	79.79	-1
251	6005	579.78555	4416187	0.0105	44.5	-1
252	6005	579.96403	6848441	0.0102	69.01	-1
253	6005	580.0357	3471577	0.0108	34.98	-1
254	6005	580.29721	4740388	0.0107	47.77	-1
255	6005	580.53637	497777	0.0099	5.02	-1
256	6005	580.63325	904991	0.0111	9.12	-1
257	6005	580.78857	393072	0.0099	3.96	-1
258	6005	581.26775	249235	0.0101	2.51	-1
259	6005	582.81292	624886	0.0104	6.3	-1
260	6005	583.31456	421639	0.0104	4.25	-1
261	6005	584.64109	324178	0.0096	3.27	-1
262	6005	584.97528	211007	0.0132	2.13	-1
263	6005	585.3128	207483	0.0161	2.09	-1
264	6005	585.33084	571280	0.0105	5.76	-1
265	6005	585.98805	296062	0.0099	2.98	-1
266	6005	587.31898	1156561	0.0106	11.65	-1
267	6005	587.61842	212038	0.0115	2.14	-1
268	6005	587.99008	579866	0.0106	5.84	-1
269	6005	588.3242	988275	0.0101	9.96	-1
270	6005	588.65933	321803	0.0096	3.24	-1
271	6005	588.80325	283998	0.0115	2.86	-1
272	6005	589.31014	410769	0.0111	4.14	-1
273	6005	589.64357	828481	0.0124	8.35	-1
274	6005	589.979	279037	0.0122	2.81	-1
275	6005	590.31243	228685	0.0117	2.3	-1
276	6005	592.31656	433282	0.0104	4.37	-1
277	6005	593.32737	304135	0.0102	3.06	-1
278	6005	594.56542	255937	0.0115	2.58	-1
279	6005	595.32902	239114	0.0117	2.41	-1
280	6005	595.544	270791	0.0103	2.73	-1
281	6005	597.29817	847212	0.0168	8.54	-1
282	6005	597.79872	777624	0.0146	7.84	-1
283	6005	597.86066	2844240	0.0107	28.66	-1
284	6005	598.36204	1367746	0.0115	13.78	-1
285	6005	598.62637	601468	0.0104	6.06	-1
286	6005	598.86382	382456	0.0106	3.85	-1
287	6005	598.961	823269	0.0105	8.3	-1
288	6005	599.29506	457603	0.0118	4.61	-1
289	6005	599.32425	1044051	0.011	10.52	-1
290	6005	599.37367	261095	0.0094	2.63	-1
291	6005	599.63215	1671332	0.0109	16.84	-1
292	6005	599.82596	332968	0.0119	3.36	-1
293	6005	599.96624	1796087	0.0112	18.1	-1
294	6005	600.06091	342660	0.0099	3.45	-1
295	6005	600.30082	780206	0.0113	7.86	-1
296	6005	600.63529	226522	0.0126	2.28	-1
297	6005	600.84735	741155	0.0111	7.47	-1
298	6005	601.34967	709816	0.0115	7.15	-1
299	6005	601.85064	276056	0.0116	2.78	-1
300	6005	606.78343	216291	0.0131	2.18	-1
301	6005	607.30495	415606	0.0114	4.19	-1
302	6005	607.32741	309917	0.0119	3.12	-1
303	6005	607.57713	512589	0.0115	5.17	-1
304	6005	607.82958	202435	0.0102	2.04	-1
305	6005	609.30105	1112025	0.0111	11.21	-1
306	6005	609.35904	375306	0.0113	3.78	-1
307	6005	609.69413	281864	0.015	2.84	-1
308	6005	609.80411	427265	0.0113	4.31	-1
309	6005	610.0022	336526	0.0112	3.39	-1
310	6005	610.30505	245897	0.0116	2.48	-1
311	6005	610.33588	370051	0.0113	3.73	-1
312	6005	610.79272	235007	0.0116	2.37	-1
313	6005	610.8086	324126	0.0103	3.27	-1
314	6005	611.29512	199329	0.0153	2.01	-1
315	6005	612.36894	537387	0.0115	5.42	-1
316	6005	613.31513	1050054	0.0115	10.58	-1
317	6005	613.64932	868581	0.0108	8.75	-1
318	6005	613.98288	390283	0.0107	3.93	-1
319	6005	614.31766	211550	0.0089	2.13	-1
320	6005	614.81828	1218214	0.0113	12.28	-1
321	6005	615.31904	579104	0.0112	5.84	-1
322	6005	618.95047	227553	0.0102	2.29	-1
323	6005	619.28609	332264	0.0112	3.35	-1
324	6005	619.64644	1987297	0.0116	20.03	-1
325	6005	619.78658	244499	0.0119	2.46	-1
326	6005	619.98088	1511410	0.011	15.23	-1
327	6005	620.31611	716534	0.0114	7.22	-1
328	6005	620.65007	318169	0.0114	3.21	-1
329	6005	621.33134	883980	0.0119	8.91	-1
330	6005	621.35859	247302	0.0107	2.49	-1
331	6005	621.83128	337416	0.0131	3.4	-1
332	6005	622.30883	216339	0.0113	2.18	-1
333	6005	622.33398	287101	0.0129	2.89	-1
334	6005	622.50984	351663	0.0114	3.54	-1
335	6005	622.83741	1219229	0.0117	12.29	-1
336	6005	622.9623	232399	0.0125	2.34	-1
337	6005	623.33796	718395	0.0115	7.24	-1
338	6005	623.82014	315750	0.0119	3.18	-1
339	6005	624.32403	309536	0.0131	3.12	-1
340	6005	625.88091	292123	0.0099	2.94	-1
341	6005	628.86117	2276629	0.012	22.94	-1
342	6005	629.36286	1056265	0.0118	10.64	-1
343	6005	629.86484	369927	0.0112	3.73	-1
344	6005	631.31768	263736	0.0129	2.66	-1
345	6005	634.65173	938076	0.0118	9.45	-1
346	6005	634.66647	222156	0.0214	2.24	-1
347	6005	634.9863	792027	0.0127	7.98	-1
348	6005	635.00159	410127	0.0307	4.13	-1
349	6005	635.32034	318430	0.0111	3.21	-1
350	6005	635.37682	441035	0.0121	4.44	-1
351	6005	635.81583	755482	0.0118	7.61	-1
352	6005	635.87876	293921	0.012	2.96	-1
353	6005	636.81495	208709	0.0101	2.1	-1
354	6005	637.82096	4750353	0.0124	47.87	-1
