mz	intensity
1035.92704776633	26345.8671875
1035.93754933773	18955.337890625
1035.94805112205	8791.3505859375
1035.9585531193	3968.568359375
1035.96905532948	3222.16845703125
1035.9795577526	19918.958984375
1035.99006038866	23103.54296875
1036.00056323767	16717.974609375
1036.01106629964	17130.603515625
1036.02156957458	19043.939453125
1036.03207306248	39920.3125
1036.04257676336	35461.546875
1036.05308067723	74006.0234375
1036.06358480408	60972.6796875
1036.07408914393	30145.703125
1036.08459369679	28625.875
1036.09509846265	18962.07421875
1036.10560344153	19852.83203125
1036.11610863343	22190.33984375
1036.12661403836	33551.4609375
1036.13711965633	41724.984375
1036.14762548734	23638.490234375
1036.15813153139	24283.916015625
1036.1686377885	25139.66796875
1036.17914425868	38588.7421875
1036.18965094192	17183.5625
1036.20015783823	13203.7470703125
1036.21066494762	45563.5390625
1036.22117227011	23339.248046875
1036.23167980568	21142.96875
1036.24218755436	55265.96484375
1036.25269551614	24401.25390625
1036.26320369103	39621.33203125
1036.27371207905	21918.8984375
1036.28422068019	21875.41015625
1036.29472949446	23187.265625
1036.30523852187	26212.787109375
1036.31574776243	8477.7685546875
1036.32625721614	18975.482421875
1036.33676688301	17904.4609375
1036.34727676304	36947.16796875
1036.35778685625	48991.17578125
1036.36829716263	38023.296875
1036.3788076822	10162.9873046875
1036.38931841496	20531.9765625
1036.39982936091	21893.87890625
1036.41034052007	8836.9453125
1036.42085189244	17517.580078125
1036.43136347803	10928.1806640625
1036.44187527684	39698.9921875
1036.45238728887	20268.2890625
1036.46289951415	18611.646484375
1036.47341195267	49951.76953125
1036.48392460444	21933.18359375
1036.49443746946	18751.33984375
1036.50495054775	44142.84765625
1036.5154638393	16731.251953125
1036.52597734413	8639.8369140625
1036.53649106224	32888.70703125
1036.54700499364	15811.4072265625
1036.55751913834	21326.244140625
1036.56803349633	59644.14453125
1036.57854806764	5506.375
1036.58906285225	29461.458984375
1036.59957785019	3959.31762695313
1036.61009306146	37248.828125
1036.62060848606	55826.34765625
1036.63112412399	21117.98828125
1036.64163997528	7869.20166015625
1036.65215603992	10867.380859375
1036.66267231792	40316.515625
1036.67318880928	32281.654296875
1036.68370551402	16546.263671875
1036.69422243214	2944.68920898438
1036.70473956364	21749.69921875
1036.71525690853	20698.240234375
1036.72577446683	12466.8369140625
1036.73629223852	2964.26220703125
1036.74681022363	15274.146484375
1036.75732842216	8854.521484375
1036.76784683411	20324.326171875
1036.7783654595	17495.845703125
1036.78888429832	18501.619140625
1036.79940335058	47772.9453125
1036.8099226163	18184.298828125
1036.82044209547	3662.76538085938
1036.8309617881	28491.5859375
1036.84148169421	19850.73046875
1036.85200181379	3504.83203125
1036.86252214686	14509.3154296875
1036.87304269341	16755.068359375
1036.88356345346	32423.716796875
1036.89408442702	24658.685546875
1036.90460561408	8444.2001953125
1036.91512701466	21140.919921875
1036.92564862876	20944.603515625
1036.93617045639	24483.951171875
1036.94669249755	8473.0234375
1036.95721475226	13970.8671875
1036.96773722051	35568.66796875
1036.97825990232	43829.90234375
1036.98878279769	6964.44580078125
1036.99930590662	7869.48974609375
1037.00982922914	3983.7294921875
1037.02035276523	7593.09814453125
1037.03087651491	31077.544921875
1037.04140047818	10546.029296875
1037.05192465505	23950.587890625
1037.06244904553	27381.822265625
1037.07297364962	19759.591796875
1037.08349846733	42731.9765625
1037.09402349867	26373.892578125
1037.10454874364	30705.041015625
1037.11507420225	15022.2646484375
1037.1255998745	16998.205078125
1037.13612576041	9799.2333984375
1037.14665185997	42015.7734375
1037.1571781732	22074.046875
1037.1677047001	25344.908203125
1037.17823144068	44400.17578125
1037.18875839495	26756.3984375
1037.1992855629	5442.92333984375
1037.20981294456	44100.4375
1037.22034053991	32334.33203125
1037.23086834898	16220.6162109375
1037.24139637177	39240.09375
1037.25192460828	16474.6796875
1037.26245305851	17739.548828125
1037.27298172249	34801.45703125
1037.28351060021	9929.8876953125
1037.29403969168	34338.41796875
1037.3045689969	39691.07421875
1037.31509851589	28242.48046875
1037.32562824865	16757.29296875
1037.33615819518	17218.001953125
1037.34668835549	3569.22119140625
1037.3572187296	12939.2333984375
1037.3677493175	14975.7216796875
1037.3782801192	36452.73828125
1037.3888111347	9025.306640625
1037.39934236403	27539.59765625
1037.40987380717	30284.09375
1037.42040546415	33715.1015625
1037.43093733495	37772.97265625
1037.4414694196	26365.392578125
1037.4520017181	23705.99609375
1037.46253423044	54166.92578125
1037.47306695665	26177.376953125
1037.48359989673	16955.517578125
1037.49413305068	31100.123046875
1037.50466641851	29727.80078125
1037.51520000023	49602.60546875
1037.52573379584	34724.73046875
1037.53626780534	27148.087890625
1037.54680202876	54426.9140625
1037.55733646609	26417.470703125
1037.56787111733	25746.97265625
