mz	intensity
1033.15161540691	95513.67578125
1033.16206078226	57064.8720703125
1033.17250636883	69915.3720703125
1033.18295216661	92732.958984375
1033.19339817562	69550.9599609375
1033.20384439586	107290.02734375
1033.21429082734	67685.9326171875
1033.22473747006	28893.6049804688
1033.23518432403	90506.380859375
1033.24563138926	92705.482421875
1033.25607866575	74778.1328125
1033.26652615351	24551.89453125
1033.27697385255	31101.107421875
1033.28742176287	54674.478515625
1033.29786988448	80253.7412109375
1033.30831821738	72407.24609375
1033.31876676159	61391.486328125
1033.3292155171	65909.5263671875
1033.33966448393	76417.4765625
1033.35011366208	58442.2783203125
1033.36056305155	118698.923828125
1033.37101265236	67545.6640625
1033.38146246451	68797.884765625
1033.39191248801	77921.91796875
1033.40236272286	55970.6337890625
1033.41281316907	42294.2583007813
1033.42326382664	79271.421875
1033.43371469559	63703.720703125
1033.44416577591	59379.6591796875
1033.45461706762	109912.322265625
1033.46506857072	96537.25
1033.47552028522	48184.4775390625
1033.48597221112	67874.3671875
1033.49642434844	63173.9389648438
1033.50687669717	70611.6298828125
1033.51732925732	42009.646484375
1033.52778202891	72160.396484375
1033.53823501193	24315.9365234375
1033.54868820639	51577.2060546875
1033.5591416123	98319.654296875
1033.56959522967	89819.2177734375
1033.5800490585	56040.6494140625
1033.5905030988	68480.302734375
1033.60095735057	97312.771484375
1033.61141181383	85191.79296875
1033.62186648857	56475.4169921875
1033.63232137481	56154.76953125
1033.64277647254	149360.77734375
1033.65323178179	64440.1528320313
1033.66368730254	62332.34765625
1033.67414303482	105082.4921875
1033.68459897862	45402.4399414063
1033.69505513396	91372.369140625
1033.70551150083	76007.134765625
1033.71596807925	88652.806640625
1033.72642486922	86171.509765625
1033.73688187075	100836.90234375
1033.74733908385	49409.1206054688
1033.75779650851	62894.748046875
1033.76825414475	89252.94921875
1033.77871199258	66771.3642578125
1033.789170052	62752.361328125
1033.79962832301	114215.865234375
1033.81008680563	94559.830078125
1033.82054549986	48551.8046875
1033.8310044057	41290.69921875
1033.84146352316	68688.6875
1033.85192285226	70007.7036132813
1033.86238239299	67808.6943359375
1033.87284214536	66277.6044921875
1033.88330210938	69187.7490234375
1033.89376228505	75836.77734375
1033.90422267238	64491.439453125
1033.91468327139	94206.259765625
1033.92514408206	67420.287109375
1033.93560510442	69963.845703125
1033.94606633846	99521.9204101563
1033.9565277842	119793.255859375
1033.96698944163	74078.017578125
1033.97745131077	112914.041992188
1033.98791339163	84534.8466796875
1033.9983756842	84258.5634765625
1034.0088381885	153646.671875
1034.01930090453	108649.059570313
1034.0297638323	214227.41796875
1034.04022697181	287802.21484375
1034.05069032307	1357631.3125
1034.06115388609	1038048.1875
1034.07161766088	628995.484375
1034.08208164743	392040.6875
1034.09254584576	343100.140625
1034.10301025588	222104.796875
1034.11347487778	233175.796875
1034.12393971148	162607.98046875
1034.13440475698	176171.19921875
1034.14487001429	93001.83203125
1034.15533548342	95953.0927734375
1034.16580116437	83754.4404296875
1034.17626705715	74553.5703125
1034.18673316176	68117.0209960938
1034.19719947821	107152.374023438
1034.20766600651	92479.6005859375
1034.21813274666	66007.341796875
1034.22859969867	61054.5439453125
1034.23906686255	99171.51171875
1034.24953423831	66536.638671875
1034.26000182594	68324.548828125
1034.27046962546	65871.630859375
1034.28093763687	100981.177734375
1034.29140586018	70787.70703125
1034.30187429539	58601.0673828125
1034.31234294252	75606.673828125
1034.32281180157	80751.1796875
1034.33328087253	83758.6796875
1034.34375015544	112724.8515625
1034.35421965027	36822.7973632813
1034.36468935706	99267.505859375
1034.37515927579	143637.8125
1034.38562940648	43433.146484375
1034.39609974913	58107.607421875
1034.40657030375	122489.87890625
1034.41704107035	110760.630859375
1034.42751204893	73290.4389648438
1034.4379832395	123346.078125
1034.44845464207	154236.974609375
1034.45892625663	75327.5756835938
1034.46939808321	142467.833007813
1034.4798701218	90561.7109375
1034.49034237241	150269.18359375
1034.50081483505	79706.890625
1034.51128750972	129966.140625
1034.52176039644	173211.6015625
1034.5322334952	299627.296875
1034.54270680601	298415.4921875
1034.55318032888	1425299.3125
1034.56365406382	1190715.90625
1034.57412801084	733304.703125
1034.58460216993	500355.1875
1034.5950765411	358470.5546875
1034.60555112437	316611.265625
1034.61602591974	216830.0078125
1034.62650092721	217523.82421875
1034.6369761468	154008.26171875
1034.6474515785	175449.3671875
1034.65792722232	95763.55859375
1034.66840307828	71500.755859375
1034.67887914637	129365.865234375
1034.68935542661	104641.451171875
1034.699831919	109166.83984375
1034.71030862354	22012.4028320313
1034.72078554025	85314.0205078125
1034.73126266912	66776.1640625
