Dataset	MassTagID	ChargeState	Scan	ScanStart	ScanEnd	NET	NumChromPeaksWithinTol	MonoisotopicMass	MonoMZ	IntensityRep	FitScore	IScore
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24730	3	12992	12984	12996	0.6413	0	2154.10199	719.04127	9511234	0.0073	0.0062
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24740	2	13933	13926	13938	0.6920	0	1724.95213	863.48334	2.094966E+07	0.0013	0.0112
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24740	3	13926	13923	13935	0.6919	0	1724.95105	575.99096	1.175546E+07	0.0025	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24775	3	12719	12716	12728	0.6311	0	1939.98589	647.66924	1516817	0.0102	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24807	3	12684	12681	12693	0.6291	0	2035.05589	679.35924	1.149333E+07	0.0122	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25067	3	12719	12712	12724	0.6308	0	2947.45542	983.49242	7860987	0.0066	0.0064
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25067	4	12719	12715	12727	0.6310	0	2947.45729	737.87160	1.105654E+07	0.0036	0.0048
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27992	4	13111	13102	13114	0.6481	0	3168.66352	793.17316	1.257697E+07	0.0084	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31371	3	13620	13615	13627	0.6780	0	2289.16744	764.06309	432653	0.0370	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31433	3	12366	12362	12374	0.6094	0	2193.19984	732.07389	3184847	0.0060	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31363	3	12922	12918	12930	0.6384	0	1892.95765	631.99316	1775199	0.0093	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	44623	3	12824	12820	12832	0.6356	0	2264.18213	755.73465	1.05196E+07	0.0023	0.0148
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	44668	3	12219	12216	12228	0.5968	0	2980.41015	994.47733	6939839	0.0054	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24720	3	14457	14452	14464	0.7164	0	2093.15599	698.72594	763932	0.0051	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24747	3	14541	14537	14549	0.7238	0	2561.29903	854.77362	4003762	0.0079	0.0168
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24717	3	14597	14590	14602	0.7283	0	2671.26663	891.42949	2304451	0.0271	0.0165
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24911	2	15513	15508	15520	0.7708	0	2325.15833	1163.58644	2704681	0.0086	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24859	3	14765	14762	14774	0.7391	0	2255.13607	752.71930	1349358	0.0148	0.0255
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24704	4	14751	14746	14758	0.7382	0	3790.90677	948.73397	846630	0.0328	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31379	3	15094	15088	15100	0.7496	0	3542.72765	1181.91649	6576125	0.0097	0.0468
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31379	4	15080	15074	15086	0.7492	0	3542.72722	886.68908	1284516	0.0239	0.0177
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31353	3	14227	14221	14232	0.7084	0	2612.39296	871.80493	4377354	0.0089	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31360	2	14597	14589	14601	0.7283	0	2295.25184	1148.63320	708551	0.0199	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31360	3	14597	14595	14606	0.7288	0	2295.25126	766.09103	2296410	0.0050	0.0000
