frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time
500,239,2,8938,326.70037,0.7466,651.60363,651.38509,651.38509,0.0466,131.89,6990,0,0,0,0
500,239,3,5829,386.54524,0.2732,1156.8538,1156.61224,1156.61224,0.0501,221.85,4437,0,0,0,0
500,240,2,21261,306.19999,0.8372,610.6962,610.38433,610.38433,0.0455,1700.11,15301,0,0,0,0
500,240,4,17329,317.42249,0.5335,1266.26508,1265.65865,1265.65865,0.046,456.52,9587,0,0,0,0
500,240,2,7514,337.20724,0.6834,672.61179,672.39884,672.39884,0.049,493.17,5918,0,0,0,0
500,240,2,1297,354.70545,0.102,707.82367,707.39525,707.39525,0.0704,28.62,744,0,0,0,0
500,240,2,4815,379.23481,0.5621,756.78333,756.45396,756.45396,0.0578,190.41,3237,0,0,0,0
500,240,3,2524,386.5469,0.3007,1156.8653,1156.61724,1156.61724,0.0505,100.21,1904,0,0,0,0
500,240,3,1383,407.22363,0.6039,1218.99098,1218.64743,1218.64743,0.0599,19.72,907,0,0,0,0
500,241,2,27950,306.20092,0.7967,610.60134,610.38618,610.38618,0.0493,2438.67,21948,0,0,0,0
500,241,4,13637,317.42131,0.7628,1266.27198,1265.65396,1265.65396,0.0465,331.95,6971,0,0,0,0
500,241,2,4428,326.7,0.516,651.76611,651.38434,651.38434,0.0511,105.54,2744,0,0,0,0
500,241,2,6421,337.20585,0.5784,672.62799,672.39605,672.39605,0.0481,120.37,4935,0,0,0,0
500,241,2,1567,361.21183,0.2977,720.79581,720.40802,720.40802,0.0567,68.43,958,0,0,0,0
500,241,2,7470,372.22465,0.5817,742.7595,742.43365,742.43365,0.0526,632.38,5059,0,0,0,0
500,241,2,23344,379.23648,0.4505,756.70564,756.45732,756.45732,0.055,1949.67,17547,0,0,0,0
500,241,2,1340,381.68987,0.0583,761.8541,761.36409,761.36409,0.0451,68.8,688,0,0,0,0
500,241,3,1776,407.21478,0.105,1218.98688,1218.62087,1218.62087,0.0659,26.9,1130,0,0,0,0
500,242,2,31358,306.2006,1.6256,610.69991,610.38555,610.38555,0.0487,2527.22,22745,0,0,0,0
500,242,2,4163,317.42008,0.7071,633.11578,632.82451,632.82451,0.0505,140.38,2948,0,0,0,0
500,242,2,4037,337.20292,0.879,672.63838,672.3902,672.3902,0.0466,79.97,3039,0,0,0,0
500,242,2,1667,358.68567,0.5709,715.74262,715.3557,715.3557,0.0738,6.61,1025,0,0,0,0
500,242,2,1816,361.19643,0.8374,720.7044,720.37721,720.37721,0.0508,111.45,1226,0,0,0,0
500,242,2,9341,372.22538,0.487,742.78357,742.43512,742.43512,0.0554,1221.2,6106,0,0,0,0
500,242,2,3332,376.68786,0.4254,751.54326,751.36008,751.36008,0.0385,170.31,2725,0,0,0,0
500,242,2,62330,379.23507,1.515,756.79129,756.4545,756.4545,0.0588,44691,44691,0,0,0,0
500,242,3,6689,422.88649,0.7662,1266.00561,1265.636,1265.636,0.0572,423.7,4237,0,0,0,0
500,242,3,3551,440.53294,0.9832,1319.87485,1318.55729,1319.56015,0.0579,205,4510,0,0,0,0
500,242,3,3229,541.2519,0.84,1621.17216,1620.73222,1620.73222,0.0799,200.44,1804,0,0,0,0
500,243,2,19798,306.20121,0.8916,610.61783,610.38678,610.38678,0.0498,725,15225,0,0,0,0
500,243,2,1584,353.184,0.2617,704.79725,704.35235,704.35235,0.046,442.5,885,0,0,0,0
500,243,2,8989,372.22342,0.6424,742.74043,742.43119,742.43119,0.053,890.29,6232,0,0,0,0
500,243,2,1594,373.71676,0.8134,745.75595,745.41787,745.41787,0.0645,352,1056,0,0,0,0
500,243,2,101991,379.23605,1.507,756.76195,756.45645,756.45645,0.0574,75238,75238,0,0,0,0
500,243,3,39098,422.89325,1.3805,1266.18511,1265.65628,1265.65628,0.0622,765.18,21425,0,0,0,0
500,244,2,11015,306.20012,0.8488,610.67506,610.38458,610.38458,0.0454,1561.6,7808,0,0,0,0
500,244,2,6160,361.20529,0.8869,720.6578,720.39493,720.39493,0.0512,505,4545,0,0,0,0
500,244,2,4841,372.22443,0.3852,742.8045,742.43321,742.43321,0.0644,435.71,3050,0,0,0,0
500,244,2,110139,379.23565,2.564,756.76887,756.45565,756.45565,0.0587,40576.5,81153,0,0,0,0
500,244,3,117514,422.89411,1.4355,1266.20942,1265.65884,1265.65884,0.0659,2279.46,63825,0,0,0,0
500,244,3,3770,540.58817,0.5538,1621.11373,1618.74103,1620.74601,0,0,0,0,0,0,0
500,245,2,1486,346.68571,0.5234,691.74667,691.35577,691.35577,0.0536,908,908,0,0,0,0
500,245,2,83780,379.23607,2.2297,756.76102,756.45649,756.45649,0.0574,31089,62178,0,0,0,0
500,245,3,215285,422.8949,2.3059,1266.2205,1265.66123,1265.66123,0.0693,4361.81,117769,0,0,0,0
500,245,3,2438,423.24175,0.1926,1270.01886,1266.70177,1269.70856,0,0,0,0,0,0,0
500,245,3,4276,540.92822,0.9094,1620.26085,1619.75673,1620.75958,0.0588,1068,2136,0,0,0,0
