scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
6019,2,1156855,597.29879,0.0059,1193.31232,1192.58413,1192.58413,0.0113,11.72,1156855,247777
6019,1,1153334,1197.64326,0.0186,1197.36532,1196.63653,1196.63653,0.0322,11.69,1153334,223969
6019,2,1142151,501.28225,0.0812,1001.15586,1000.55105,1000.55105,0.0081,11.57,1142151,913198
6019,2,1033037,464.28233,0.0131,927.11337,926.5512,926.5512,0.0076,10.47,1033037,0
6019,2,1033003,791.88574,0.0861,1582.80679,1581.75801,1581.75801,0.0182,10.47,1033003,0
6019,3,1029266,768.72676,0.0791,2304.65175,2303.16227,2304.16517,0.0167,10.43,686592,499545
6019,2,1015490,716.3937,0.0742,1431.737,1430.77395,1430.77395,0.0157,10.29,1015490,0
6019,1,1006688,587.31905,0.0121,586.66957,586.31232,586.31232,0.0104,10.2,1006688,0
6019,2,947480,898.94645,0.0979,1797.06422,1795.87945,1796.88234,0.0202,9.6,947480,439753
6019,1,920979,521.26955,0.0079,520.57863,520.26282,520.26282,0.0091,9.33,920979,0
6019,2,918013,433.24252,0.1126,864.99448,864.4716,864.4716,0.0065,9.3,918013,0
6019,3,906666,440.57548,0.0998,1319.51486,1318.70626,1318.70626,0.0065,9.19,906666,552146
6019,2,905158,696.38927,0.0572,1391.70488,1390.76631,1390.76631,0.014,9.17,890876,0
6019,2,882323,427.76,0.0233,854.02622,853.50653,853.50653,0.0065,8.94,882323,0
6019,2,878074,1016.01174,0.0782,2031.33383,2030.01003,2031.01293,0.0243,8.9,878074,261840
6019,3,876955,771.36521,0.1241,2312.57754,2311.07771,2312.08061,0.0155,12.7,592367,307481
6019,2,844503,933.94217,0.043,1867.0977,1865.87089,1866.87378,0.0212,8.56,844503,281332
6019,2,836377,614.81889,0.0958,1228.37639,1227.62433,1227.62433,0.0115,8.47,836377,0
6019,2,832015,714.87553,0.1131,1428.69812,1427.73537,1427.73537,0.0157,10.29,683518,255682
6019,1,829571,745.40608,0.0079,744.85252,744.39935,744.39935,0.0152,8.41,829571,0
6019,2,827825,542.27398,0.0159,1083.19245,1082.53451,1082.53451,0.009,8.39,827825,264689
6019,4,824918,480.9969,0.1367,1921.2163,1919.9607,1920.96364,0.0075,8.36,824918,398838
6019,2,815931,674.36555,0.0503,1347.62725,1346.71764,1346.71764,0.0132,8.27,815931,359832
6019,2,811693,790.86162,0.1673,1580.75826,1579.70978,1579.70978,0.0182,10.47,811693,1033003
6019,2,803201,836.47662,0.0355,1672.04277,1670.93979,1670.93979,0.0188,8.14,803201,325599
6019,3,800118,613.31565,0.0517,1838.13453,1836.92482,1837.92774,0.011,8.11,604288,304132
6019,4,798358,550.01774,0.0962,2197.47404,2196.04351,2197.04642,0.0094,8.09,449842,339507
6019,2,797724,502.77493,0.1095,1004.15097,1003.53641,1003.53641,0.0106,8.08,797724,273676
6019,2,791828,610.7927,0.0958,1220.31351,1219.57195,1219.57195,0.0121,8.02,791828,0
6019,3,776551,698.3885,0.2046,2093.50993,2092.14531,2093.1482,0.0137,7.87,776551,470290
6019,1,766855,850.42678,0.0154,849.93913,849.42006,849.42006,0.0178,7.77,766855,295166
6019,2,760802,682.85864,0.0978,1364.62683,1363.70382,1363.70382,0.0123,7.71,760802,0
