scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,summed_abundance
6523,3,1272379,1087.54993,0.1739,3260.70287,3258.62672,3259.62962,0.0259,8.5,1272379,785579,2685283
6523,1,1268079,674.35317,0.1207,673.75758,673.34644,673.34644,0.0138,11.47,1268079,0,2985440
6523,2,1257326,698.87217,0.0376,1396.67005,1395.73088,1395.73088,0.0136,8.4,1257326,0,2348984
6523,2,1244757,838.40346,0.0949,1675.90652,1674.7935,1674.7935,0.0226,8.31,1014577,0,2259334
6523,2,1217742,767.90041,0.1175,1534.80754,1533.78649,1533.78649,0.015,8.13,1156161,676711,3896894
6523,1,1213752,1292.58213,0.0333,1292.35929,1291.5754,1291.5754,0.0348,8.11,1213752,0,2324379
6523,3,1204545,817.42005,0.2297,2450.82056,2449.23681,2450.23971,0.0176,8.05,477771,0,1682316
6523,4,1200994,645.53829,0.0847,2579.7925,2578.12854,2579.13144,0.0121,8.02,665868,556185,2423047
6523,1,1189727,1005.50081,0.0079,1005.10879,1004.49408,1004.49408,0.0232,7.95,1189727,0,1888372
6523,3,1187631,491.62497,0.0351,1472.83684,1471.85472,1471.85472,0.0081,7.93,1187631,912328,2902494
6523,3,1177879,568.31463,0.0658,1703.05353,1701.9237,1701.9237,0.0101,7.87,1177879,878328,3000983
6523,3,1168241,586.9809,0.129,1759.07939,1757.92252,1757.92252,0.0113,7.8,1168241,0,2037473
6523,1,1145217,905.46752,0.0329,905.01034,904.46079,904.46079,0.0211,7.65,1145217,0,1608394
6530,2,18853596,475.26884,0.0037,949.10258,948.52421,948.52421,0.0077,145.1,18853596,2470718,31524913
6530,2,9736074,854.47535,0.0251,1708.06782,1706.93724,1706.93724,0.0189,74.93,9736074,3842979,23370790
6530,2,8682651,627.87167,0.0329,1254.49722,1253.72989,1253.72989,0.0119,66.82,8682651,1716826,14797124
6530,3,8656716,691.05337,0.0377,2071.48961,2070.139,2071.14191,0.0137,66.62,6666057,3834392,21573091
6530,3,8381945,806.77154,0.0401,2418.86162,2417.29404,2418.29693,0.0176,64.51,5384863,4672741,21839904
6530,2,7771471,833.40638,0.0054,1665.90068,1664.79846,1664.79846,0.0178,59.81,7701076,3787321,20383284
6530,3,7055024,872.09642,0.0354,2614.94973,2613.26914,2614.27204,0.0201,54.3,4952052,4893957,19550464
6530,2,6716010,764.40678,0.0178,1527.81994,1526.8001,1526.8001,0.0155,51.69,6716010,2054173,15475646
6530,2,6658369,932.436,0.0216,1864.08489,1862.85854,1863.86143,0.0211,51.24,6658369,3512332,16826667
6530,2,6317182,519.2765,0.0405,1037.17196,1036.53955,1036.53955,0.0089,48.62,6317182,613102,9366888
6530,1,6246457,949.53151,0.0107,949.10314,948.52478,948.52478,0.0218,48.07,6246457,737534,9712315
6530,2,5448054,796.87981,0.0185,1592.80574,1591.74616,1591.74616,0.0164,41.93,5448054,1861924,12584977
6530,4,5190929,518.54127,0.0064,2071.4884,2070.13779,2071.14071,0.0089,39.95,4914599,3735319,15948658
6530,1,4550866,473.29437,0.0055,472.57558,472.28765,472.28765,0.0079,35.02,4550866,0,5511521
6530,4,4360114,815.66347,0.1162,3260.70084,3258.62469,3259.62759,0.0182,33.56,1566177,2923337,11067005
6530,3,4062193,674.68155,0.0391,2022.34691,2021.02448,2022.02737,0.0133,31.26,4062193,1667873,10608741
6530,2,3847112,677.87957,0.0173,1354.65789,1353.74569,1353.74569,0.0133,29.61,3847112,873685,7638890
6530,1,3651072,650.34794,0.0085,649.73943,649.34121,649.34121,0.0123,28.1,3651072,0,4786924
6530,1,3610810,1015.53811,0.0147,1015.14759,1014.53138,1014.53138,0.0242,27.79,3610810,433627,5833510
6530,1,3513031,718.4105,0.0079,717.84372,717.40377,717.40377,0.0144,27.04,3513031,0,4713672
6530,4,3128782,571.55588,0.0571,2283.68095,2282.19683,2283.19974,0.0108,24.08,2836847,1449787,8074681
6530,2,2913159,886.94954,0.1418,1773.05748,1771.88563,1771.88563,0.0336,22.42,2913159,976016,6687237
6530,1,2803616,583.37855,0.0105,582.72846,582.37182,582.37182,0.0103,21.58,2803616,0,3475625
6530,2,2802656,473.27309,0.0099,945.11048,944.53272,944.53272,0.0076,21.57,2802656,0,4133384
6530,4,2738024,610.80811,0.1291,2440.7857,2439.20565,2440.20856,0.0114,21.07,916268,1523628,5648595
6530,4,2663584,585.28307,0.0808,2338.61808,2337.10349,2338.10639,0.0104,20.5,2519313,1895016,8850203
6530,2,2572344,682.89524,0.0531,1364.70003,1363.77702,1363.77702,0.0135,19.8,2572344,638167,4598518
6530,4,2545665,728.88964,0.0845,2913.39737,2911.52735,2912.53024,0.0147,19.59,2502320,1884411,8861356
6530,2,2388675,724.35375,0.0298,1447.66105,1446.69405,1446.69405,0.0146,18.38,2388675,887231,4770784
6530,3,2353265,814.07572,0.0632,2440.78526,2439.20522,2440.20811,0.0174,18.11,1750394,1466567,5570226
6530,1,2295062,1292.58142,0.0052,1292.35858,1291.57469,1291.57469,0.0356,17.66,2295062,674217,4523627
6530,1,2207261,635.33727,0.0059,634.71516,634.33054,634.33054,0.012,16.99,2207261,0,2956371
6530,1,2204419,855.52631,0.0096,855.03941,854.51958,854.51958,0.0185,16.97,2204419,0,3066572
6530,2,2199361,543.7983,0.0453,1086.24154,1085.58314,1085.58314,0.0096,16.93,2199361,0,3050616
6530,1,2139692,1050.54308,0.0242,1050.18002,1049.53636,1049.53636,0.0247,16.47,2139692,0,3064416
6530,2,2132780,527.8135,0.0135,1054.25782,1053.61355,1053.61355,0.009,16.41,2132780,1374265,4521458
6530,2,2120249,707.35692,0.0291,1413.65141,1412.70038,1412.70038,0.0142,16.32,2120249,511642,4164723
6530,1,2109144,664.36402,0.0061,663.75763,663.35729,663.35729,0.0126,16.23,2109144,0,2820382
6530,2,2012189,1011.51887,0.0254,2022.34951,2021.02693,2022.02982,0.0243,15.49,1872079,956153,5270524
6530,2,1903999,541.8112,0.0674,1082.26674,1081.60895,1081.60895,0.0094,14.65,1903999,0,2536596
6530,2,1895876,664.83048,0.0148,1328.45745,1327.64749,1327.64749,0.0126,14.59,1895876,416774,3590718
6530,3,1851704,603.64652,0.061,1809.10596,1807.91937,1808.92228,0.0105,14.25,1851704,654403,3864565
6530,4,1842228,711.36569,0.0579,2843.2535,2841.43481,2842.43771,0.0138,14.18,1243300,1420893,4933706
6530,3,1707236,860.38327,0.0531,2579.79038,2578.12642,2579.12931,0.0196,13.14,1071617,882338,4562060
6530,3,1674352,948.15302,0.0368,2843.25587,2841.43717,2842.44007,0.0218,48.07,1521325,1582261,12155038
6530,2,1669116,495.28439,0.0283,989.15831,988.55532,988.55532,0.0085,12.85,1669116,0,2489960
6530,2,1651434,666.37704,0.0099,1331.55105,1330.74063,1330.74063,0.013,12.71,1651434,461554,3541440
6530,2,1644248,1036.07631,0.0359,2071.49105,2070.14044,2071.14334,0.0255,12.65,1243853,790503,5320492
6530,3,1620613,423.91299,0.014,1269.4899,1268.71878,1268.71878,0.0065,12.47,1620613,428744,3233569
6530,3,1616392,559.2709,0.0476,1675.9064,1674.79338,1674.79338,0.0099,12.44,1447489,389823,3453704
6530,2,1615371,595.29347,0.0215,1189.30107,1188.57349,1188.57349,0.0102,12.43,1615371,422476,3024940
6530,3,1608027,1087.55141,0.1577,3261.70613,3259.62983,3260.63273,0.0283,12.38,953158,986269,3547454
6530,2,1606872,904.96651,0.1771,1809.10774,1807.921,1808.9239,0.0204,12.37,665863,510909,3255285
6530,4,1585126,671.34199,0.1223,2683.09957,2681.37725,2682.38015,0.0145,12.2,647591,1104703,4343612
6530,2,1558650,767.90013,0.0512,1534.80771,1533.78681,1533.78681,0.0165,12,1558650,531383,4126966
6530,2,1537761,646.79441,0.0545,1292.35926,1291.57537,1291.57537,0.0116,11.83,1537761,0,2520042
6530,3,1517379,761.73873,0.1511,2283.67604,2282.19177,2283.19468,0.0164,11.68,735114,1517379,4279101
6530,3,1487166,512.26849,0.0428,1534.8062,1533.7853,1533.7853,0.0087,11.45,1487166,0,2954846
6530,3,1467714,780.042,0.1006,2338.62027,2337.10583,2338.10872,0.0161,11.3,1467714,681110,3560575
6530,3,1413990,546.64233,0.0623,1637.99534,1636.9068,1636.9068,0.0091,10.88,1413990,779345,3290060
6530,3,1396171,582.97011,0.0565,1747.0452,1745.89014,1745.89014,0.0109,10.75,1396171,756993,3349197
6530,2,1383707,745.36041,0.0699,1489.70133,1488.70736,1488.70736,0.0144,10.65,1383707,0,2577189
6530,3,1376856,840.38652,0.0731,2519.76508,2518.13945,2519.14234,0.0186,10.6,1207991,1376856,4280204
6530,3,1368029,876.04755,0.0722,2626.81433,2625.12264,2626.12554,0.019,10.53,1350131,828615,4495573
6530,4,1353720,645.53863,0.0069,2579.79189,2578.12792,2579.13082,0.012,10.42,943079,1059666,3968173
6530,2,1336501,777.40009,0.1054,1553.82183,1552.78673,1552.78673,0.0161,10.29,1336501,0,2012646
6530,3,1328999,805.42991,0.1355,2414.82457,2413.26689,2414.26978,0.0174,41.44,624558,537803,8440498
6530,2,1298471,1062.46492,0.1143,2124.29796,2122.91937,2123.92226,0.0262,9.99,1072980,0,2371451
6530,2,1276513,873.95108,0.0619,1747.04376,1745.8887,1745.8887,0.019,9.82,1276513,672788,2826892
6530,2,1256352,828.44897,0.1822,1655.98505,1654.88449,1654.88449,0.0178,9.67,1256352,0,1885966
6530,4,1247538,776.38484,0.1099,3103.49146,3101.51123,3102.51414,0.0161,10.29,629975,714772,4529662
6530,2,1214597,683.83753,0.0209,1366.58491,1365.6616,1365.6616,0.0138,9.35,1214597,0,2089710
6530,4,1206722,604.32326,0.105,2414.82415,2413.26646,2414.26936,0.0115,9.29,596820,618091,3003277
6530,2,1197612,838.40423,0.0454,1675.89859,1674.79501,1674.79501,0.0184,9.22,1197612,0,2164500
6530,2,1191130,704.85637,0.1664,1408.64958,1407.69929,1407.69929,0.0141,9.17,1191130,0,1710029
6530,4,1188871,657.2894,0.0878,2626.8159,2625.12406,2626.12696,0.0132,9.15,454670,1188871,3627033
6530,2,1188515,695.83195,0.076,1390.58668,1389.65045,1389.65045,0.0139,9.15,1188515,0,1875669
6530,3,1161585,568.31422,0.0391,1703.05229,1701.92246,1701.92246,0.0102,8.94,1161585,395739,2449684
6530,2,1137051,705.79261,0.0527,1410.52235,1409.57177,1409.57177,0.0134,8.75,1137051,0,1774449
6530,1,1136661,728.39132,0.1718,727.82605,727.3846,727.3846,0.0368,9.58,1136661,0,2381037
6530,4,1101576,630.54034,0.0559,2519.76376,2518.13828,2519.14118,0.0118,8.48,664612,648236,2842698
6530,3,1098359,444.5869,0.0293,1331.55093,1330.74051,1330.74051,0.007,8.45,1098359,0,1844733
6530,3,1076226,483.23797,0.0678,1447.65986,1446.69271,1446.69271,0.0083,8.28,927542,411599,2415367
6530,4,1059893,501.01104,0.1492,2001.32469,2000.01611,2001.01903,0.0084,8.16,556231,0,1616124
6530,4,1022056,635.57392,0.0255,2539.90327,2538.26547,2539.26838,0.0123,7.87,666757,813948,3251871
6530,2,1013880,819.46093,0.117,1637.99695,1636.9084,1636.9084,0.017,7.8,1013880,0,1541959
6530,2,977913,587.79546,0.1064,1174.29194,1173.57746,1173.57746,0.0175,7.53,977913,0,1493641
6537,2,16407717,475.26906,0.0056,949.10302,948.52465,948.52465,0.0077,150.15,16407717,2114849,26748593
6537,3,10302948,806.77181,0.0111,2418.86259,2417.295,2418.2979,0.0175,94.28,7700025,7577564,29925303
6537,2,9299861,833.40661,0.0157,1665.90184,1664.79977,1664.79977,0.0181,85.1,9299861,4219374,22490675
6537,2,9166551,854.47552,0.0323,1708.06816,1706.93758,1706.93758,0.0194,83.88,9166551,3256224,21643926
6537,3,6384795,691.05346,0.04,2071.49128,2070.14067,2071.14357,0.0135,58.43,4704025,2702898,15729413
6537,3,5840117,872.09673,0.0426,2614.95008,2613.2695,2614.27239,0.0196,53.44,3960433,3535879,15707408
6537,2,5637519,627.87198,0.0067,1254.49783,1253.73051,1253.73051,0.0117,51.59,5637519,1142194,10791291
6537,2,5140808,932.43596,0.032,1864.08482,1862.85847,1863.86136,0.0214,47.04,5140808,2538662,12658497
6537,4,5089881,518.54125,0.0322,2071.48915,2070.13853,2071.14145,0.0091,46.58,3855690,2769367,15869074
6537,2,4876849,796.88002,0.0316,1592.80617,1591.74659,1591.74659,0.0163,44.63,4876849,1450130,10623646
6537,2,4782730,764.40683,0.0059,1527.82005,1526.80021,1526.80021,0.0158,43.77,4782730,2051589,11216085
6537,1,4247462,949.53168,0.008,949.10331,948.52495,948.52495,0.0217,38.87,4247462,423490,6629267
6537,4,3970846,728.88982,0.0246,2913.39693,2911.52691,2912.52981,0.0148,36.34,3085355,3454708,13840131
6537,3,3892740,674.68175,0.0227,2022.34748,2021.02505,2022.02794,0.0134,35.62,3892740,2320943,10710357
6537,2,3807002,503.25311,0.0475,1005.10732,1004.49277,1004.49277,0.008,34.84,3807002,542330,5620324
6537,2,3395895,473.27345,0.0228,945.11121,944.53345,944.53345,0.0076,31.08,3395895,0,4783988
6537,1,3382868,473.29445,0.0119,472.57566,472.28773,472.28773,0.0078,30.96,3382868,0,3955256
6537,4,3070128,815.66306,0.0304,3260.70336,3258.62706,3259.62996,0.0176,28.1,1795360,3070128,9727558
6537,1,3041651,1292.58236,0.0222,1292.35952,1291.57563,1291.57563,0.0355,27.83,3041651,689270,5454490
6537,1,2939074,443.32075,0.0082,442.58662,442.31404,442.31404,0.007,26.9,2939074,0,3533747
6537,2,2937450,677.87962,0.016,1354.658,1353.74579,1353.74579,0.0133,26.88,2937450,747756,5753184
6537,2,2905617,646.79427,0.0612,1292.35898,1291.57509,1291.57509,0.012,26.59,2905617,382212,4588301
6537,1,2899231,1015.53873,0.0074,1015.14821,1014.532,1014.532,0.0242,26.53,2899231,540164,4895845
6537,4,2754012,585.28257,0.1576,2338.61888,2337.10428,2338.10718,0.0109,25.2,1380629,681799,6417551
6537,1,2723636,718.41081,0.0074,717.84403,717.40408,717.40408,0.0142,24.92,2723636,0,3650172
6537,2,2635905,886.94853,0.1657,1773.05546,1771.8836,1771.8836,0.0335,24.12,2635905,902155,6104488
6537,2,2529919,682.89542,0.0601,1364.7004,1363.77739,1363.77739,0.0135,23.15,2529919,631355,4497140
6537,1,2461003,650.34787,0.009,649.73936,649.34115,649.34115,0.0124,22.52,2461003,0,3180243
6537,2,2401532,495.28429,0.0659,989.15812,988.55513,988.55513,0.0083,21.98,2401532,0,3091907
6537,3,2390042,814.07598,0.1015,2440.78515,2439.2051,2440.208,0.0171,21.87,1235713,1142346,5137531
6537,1,2250426,635.3373,0.0074,634.71519,634.33058,634.33058,0.0122,20.59,2250426,0,3100403
6537,1,2130372,1050.54258,0.0234,1050.17952,1049.53585,1049.53585,0.0247,19.5,2130372,0,3117049
6537,2,2113659,527.81353,0.03,1054.25787,1053.6136,1053.6136,0.0089,19.34,2113659,850453,3871349
6537,4,2001379,571.55613,0.0133,2283.68165,2282.19753,2283.20043,0.0103,18.31,1841955,1352277,5837404
6537,1,1996139,855.5261,0.0268,855.03921,854.51937,854.51937,0.0187,18.27,1996139,0,2646742
6537,4,1979068,645.5393,0.0929,2579.79168,2578.12772,2579.13062,0.0122,18.11,1246264,764901,4758619
6537,2,1918118,519.77786,0.1322,1038.17482,1037.54226,1037.54226,0.0085,17.55,1918118,0,1918118
6537,3,1903830,512.2688,0.0145,1534.80711,1533.78621,1533.78621,0.0087,17.42,1903830,764922,4243949
6537,4,1895556,610.80819,0.0498,2440.78568,2439.20563,2440.20853,0.0109,17.35,1582073,1119381,4953185
6537,2,1871036,543.79822,0.0105,1086.24139,1085.58299,1085.58299,0.0095,17.12,1871036,0,2918203
6537,1,1782498,664.36371,0.0114,663.75731,663.35698,663.35698,0.0127,16.31,1782498,0,2250533
6537,4,1742064,657.28776,0.0553,2626.81679,2625.1251,2626.12801,0.0128,15.94,1458505,865327,4864213
6537,3,1695363,876.04768,0.0193,2626.81436,2625.12267,2626.12557,0.0195,15.51,976860,1325653,5337256
6537,2,1691847,707.35699,0.0794,1413.65156,1412.70052,1412.70052,0.014,15.48,1691847,0,2601624
6537,3,1683726,840.38676,0.1089,2519.76417,2518.13869,2519.14159,0.018,15.41,995337,659630,3712517
6537,2,1660834,1011.51947,0.0174,2022.34791,2021.02548,2022.02836,0.0238,15.2,1660834,1131272,4847405
6537,2,1656122,664.83031,0.0059,1328.45713,1327.64717,1327.64717,0.0128,15.16,1656122,625777,3516895
6537,4,1652936,776.38557,0.1015,3103.49733,3101.51711,3102.52001,0.0174,15.13,626725,1072214,5019684
6537,3,1627536,860.38315,0.0593,2579.7932,2578.12924,2579.13213,0.0197,14.89,719555,919641,4403480
6537,2,1570318,904.96551,0.2371,1809.10842,1807.92169,1808.92459,0.0203,14.37,692033,0,2262351
6537,3,1568900,603.64627,0.0283,1809.10455,1807.91781,1808.92072,0.0109,14.36,1561746,612320,4178406
6537,3,1568176,948.15213,0.0392,2843.26008,2841.44139,2842.44429,0.0218,14.35,993938,1435035,4759499
6537,1,1482249,490.26401,0.0065,489.55913,489.25729,489.25729,0.0082,13.56,1482249,0,1823745
6537,3,1424593,559.27134,0.1006,1675.90756,1674.79454,1674.79454,0.0097,13.04,984553,535584,2944730
6537,2,1399393,767.90066,0.0413,1534.80877,1533.78787,1533.78787,0.0163,12.81,1399393,571625,3522745
