scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,summed_abundance
6917,3,1343908,671.36867,0.0288,2012.39975,2011.08797,2012.09086,0.0135,8.32,973729,778435,3096072
6917,2,1335321,981.01707,0.0364,1961.30245,1960.02069,1961.02358,0.0234,8.27,1335321,592072,3244615
6917,3,1257240,749.54316,0.0987,2247.06453,2245.60582,2246.60873,0.0162,7.78,605323,1096417,2958980
6917,2,1145850,879.96098,0.1279,1759.06538,1757.90851,1757.90851,0.0199,7.09,1145850,0,1833093
6917,4,1106806,702.86061,0.0622,2809.21632,2807.41564,2808.41855,0.0145,6.85,857942,979443,2944191
6917,2,1077278,797.44814,0.0083,1593.94255,1592.88282,1592.88282,0.017,6.67,1077278,533372,2658829
6917,3,1065308,665.03912,0.012,1993.40442,1992.09705,1993.09995,0.0132,6.59,1003592,638634,2707534
6917,1,1058472,684.38958,0.0398,683.79535,683.38285,683.38285,0.0134,6.55,1058472,0,1058472
6917,3,1041103,806.77123,0.0399,2418.85965,2417.29207,2418.29496,0.0174,6.44,599466,654687,2295256
6917,3,1000937,559.98982,0.1249,1678.06398,1676.94927,1676.94927,0.0101,6.2,1000937,0,1549818
6917,2,950217,905.4021,0.0411,1809.97748,1808.79075,1809.79365,0.0209,5.88,950217,0,1780797
6917,2,937200,497.28951,0.0222,993.16916,992.56556,992.56556,0.008,5.8,937200,0,1520300
6917,3,934637,621.03229,0.0781,1861.30258,1860.07668,1861.07958,0.0117,5.79,934637,0,1663042
6917,5,921760,899.65146,0.0827,4494.13684,4491.21819,4493.22365,0.0207,5.71,921760,682427,2303576
6917,3,908651,683.38499,0.0767,2048.47044,2047.13478,2048.13768,0.0133,5.62,908651,0,1748304
6917,3,905525,642.01851,0.1151,1924.30222,1923.03534,1924.03823,0.0115,5.61,905525,0,1519232
6917,1,876454,618.33777,0.0186,617.7038,617.33105,617.33105,0.0122,5.43,876454,0,876454
6917,2,838462,924.99077,0.0648,1849.18287,1847.96808,1848.97096,0.02,5.19,838462,0,1668120
6917,3,837725,779.06768,0.0774,2334.6941,2333.17996,2334.18285,0.0172,5.19,837725,0,1440350
6917,3,827430,716.03172,0.0527,2146.46167,2145.06827,2146.07118,0.0137,5.12,568269,552598,1948297
6917,1,821715,922.44864,0.0269,922.00333,921.44191,921.44191,0.0208,5.09,821715,0,1340582
6917,4,812558,533.79019,0.0637,2132.52296,2131.13386,2132.13678,0.0091,5.03,812558,0,1510514
6923,2,12699868,1123.53192,0.0063,2246.50903,2245.05048,2246.05338,0.0282,97.37,11365659,9977060,40255389
6923,1,4596368,847.46949,0.0169,846.98138,846.46276,846.46276,0.0184,35.24,4596368,0,6337884
6923,2,4250957,722.38737,0.0595,1443.72768,1442.76128,1442.76128,0.0147,32.59,4250957,883319,7690580
6923,2,3568514,668.83489,0.0183,1336.55498,1335.65633,1335.65633,0.0128,27.36,3568514,845631,6678535
