frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,total_isotopic_abundance,orig_intensity,TIA_orig_intensity,drift_time,cumulative_drift_time
1200,277,3,2671,563.6689,0.1259,1689.10289,1687.98652,1687.98652,0.0658,41.73,2671,1058,5820,963,1994,27.558,33097.64
1200,277,3,1564,481.93355,0.0664,1443.74686,1442.78046,1442.78046,0.0653,44.69,1564,0,2935,578,785,27.558,33097.64
1200,277,1,891,501.24531,0.0266,500.54208,500.23858,500.23858,0.0572,445.5,891,0,891,404,404,27.558,33097.64
1200,278,3,19675,670.99042,0.0152,2011.28432,2009.97269,2010.97556,0.0929,504.49,17135,12750,59471,4119,10842,27.658,33217.12
1200,278,2,2646,509.7931,0.0538,1018.19144,1017.57274,1017.57274,0.0655,2646,2646,471,4059,367,1086,27.658,33217.12
1200,278,2,2578,500.24305,0.0288,999.07714,998.47264,998.47264,0.0566,198.31,2578,0,3892,1554,2391,27.658,33217.12
1200,278,3,1765,563.65552,0.0278,1689.06275,1687.94638,1687.94638,0.0732,160.45,1765,1067,4452,446,1677,27.658,33217.12
1200,278,2,1210,549.77814,0.0263,1098.21438,1097.54283,1097.54283,0.0679,302.5,1210,0,1922,447,552,27.658,33217.12
1200,278,3,1180,577.32307,0.2066,1730.09221,1728.94902,1728.94902,0.0637,78.67,1180,479,2171,189,537,27.658,33217.12
1200,278,3,790,481.93335,0.1746,1443.79104,1442.82449,1442.82449,0.1001,24.69,768,0,1558,159,692,27.658,33217.12
1200,278,3,637,646.04892,0.212,1936.30875,1935.03991,1936.04278,0.062,23.59,404,0,1041,346,743,27.658,33217.12
1200,279,3,18564,670.991,0.0203,2011.27937,2009.96774,2010.97061,0.0941,714,16503,10251,52656,3110,8108,27.757,33336.61
1200,279,2,3591,500.24588,0.0194,999.0828,998.4783,998.4783,0.0655,224.44,3591,615,6305,2237,3941,27.757,33336.61
1200,279,2,1978,549.7625,0.1298,1098.18309,1097.51154,1097.51154,0.0711,247.25,1978,0,2381,157,212,27.757,33336.61
1200,279,3,965,577.32339,0.0762,1730.09318,1728.94998,1728.94998,0.0696,193,965,396,2031,493,830,27.757,33336.61
1200,279,3,939,563.66468,0.2394,1689.09023,1687.97385,1687.97385,0.0685,36.12,939,894,2715,172,1041,27.757,33336.61
1200,279,1,836,509.78538,0.0376,509.09265,508.77865,508.77865,0.0511,104.5,836,0,1219,45,111,27.757,33336.61
1200,279,2,737,510.30368,0.2482,1019.21276,1018.59391,1018.59391,0.0532,18.42,737,0,1120,278,344,27.757,33336.61
1200,279,3,586,599.30749,0.19,1796.08692,1794.90229,1795.90517,0.0835,146.5,586,0,990,404,893,27.757,33336.61
1200,280,3,13103,670.99276,0.0124,2011.25887,2009.94724,2010.95011,0.0852,3275.75,12590,9907,41482,1695,7608,27.857,33456.09
1200,280,2,3261,500.24056,0.0471,999.07217,998.46767,998.46767,0.0614,112.45,3261,0,4427,1797,2508,27.857,33456.09
