scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
52,3,2049624,571.17187,0.1232,1710.81079,1709.67961,1709.89354,0.5054,5.05,2049624,0,1,0.49144
52,4,1908552,615.42536,0.2173,2458.2565,2456.6717,2457.67453,0.1372,4.7,1908552,0,1,0.44509
52,2,1903269,914.65889,0.1531,1827.49996,1826.30121,1827.30433,0.2969,4.69,1903269,0,1,0.48029
65,2,14607954,811.41149,0.1268,1621.88636,1620.80953,1620.80953,0.3914,25.02,14607954,0,,0
65,3,12289404,609.8164,0.1801,1826.62466,1825.42606,1826.42902,0.4261,21.05,12289404,0,1,0.54818
65,2,8250202,687.80599,0.1302,1374.52305,1373.59853,1373.59853,0.5961,14.13,8250202,0,1,0.47421
65,2,5547885,785.2816,0.076,1569.59676,1568.54994,1568.54994,0.3269,9.5,5547885,0,,0.17572
65,2,4690410,729.5065,0.2447,1457.97735,1456.99954,1456.99954,0.1754,8.03,4690410,0,,0
65,2,2883543,863.2694,0.0943,1725.14058,1723.99799,1724.52535,0.7251,4.94,2883543,0,1,0.39813
65,2,2371987,614.92161,0.1656,1228.58182,1227.82976,1227.82976,0.1582,4.06,2371987,1458901,,0
65,2,2349256,914.17491,0.1181,1827.53569,1826.33709,1827.34019,0.4591,4.02,2349256,0,1,0.40406
78,2,8185346,811.40659,0.1297,1621.87656,1620.79973,1620.79973,0.3991,17.0,8185346,0,,0
78,3,6541834,628.60323,0.1271,1883.31972,1882.08105,1882.78952,0.4567,13.59,6541834,0,1,0.46686
78,2,5624902,785.28511,0.1003,1569.60357,1568.55676,1568.55676,0.3054,11.68,5624902,0,,0
78,2,5542986,687.80422,0.1385,1374.51951,1373.59499,1373.59499,0.5877,11.51,5542986,0,1,0.49476
78,2,3514860,703.35615,0.0677,1405.63689,1404.69635,1404.69635,0.3669,7.3,3514860,0,,0
78,2,3439952,729.32178,0.0918,1457.60792,1456.63011,1456.63011,0.3285,7.14,3439952,0,,0
