mz	intensity	fwhm
547.341485423963	200350.5	0.009707005	
549.416185642373	77865.27	0.01007603	
550.090348069498	100083.3	0.008293414	
551.266697397519	113283.1	0.009293164	
551.280023818619	91139.66	0.00819419	
551.775634668436	111167.7	0.007168646	
552.159383610658	76402.83	0.008332355	
552.350145102509	92865.81	0.00775762	
552.684036392958	77005.64	0.007972804	
552.762277442846	124067.4	0.008399507	
552.788725885954	992872.9	0.009731744	
553.1006151426	75488.3	0.009673801	
553.290143736726	359145.9	0.008837339	
553.791316937711	187362.7	0.008066628	
554.13579266244	99287.23	0.008571661	
555.961938152291	1072078	0.009457221	
556.296514755618	864245.3	0.00981051	
556.630814294861	548088.9	0.009598096	
557.184737103725	85561.84	0.0104856	
557.301023955409	80478.98	0.008843102	
557.51543339851	84773.34	0.0118182	
559.050871947108	72693.39	0.01058694	
559.458269568115	76389.53	0.009378267	
559.635842823731	93957.42	0.009279565	
559.965442607783	297969.8	0.01116095	
560.11687310223	74283.67	0.01014512	
561.254119976891	173284.5	0.009421496	
561.281812620813	73714.27	0.01088481	
561.304230357422	83560.67	0.00853592	
561.797938389113	118432.3	0.01015004	
562.975691004024	103473.9	0.01871834	
563.701834663266	94361.28	0.01093354	
565.293833653698	154354.3	0.01059134	
566.301754711746	130538.3	0.01169928	
566.637454688117	88668.34	0.008203531	
568.953911191505	200292.4	0.009799096	
569.077151557719	82985.34	0.01037697	
570.370934976819	823379.9	0.01072086	
570.872422385245	367055	0.0102777	
571.140340128136	93311.56	0.009512706	
571.294973622998	296040.7	0.01100399	
571.373814329088	117659.8	0.008038836	
571.630535424215	143162.6	0.01118011	
571.796787421442	104691.3	0.009165763	
571.962542514698	113835.2	0.01056112	
574.011430619014	110634.5	0.00941897	
574.318536741751	129954	0.008897088	
577.02353001019	72510	0.01446244	
577.144417949402	70433.16	0.01142414	
577.264409131279	176519.8	0.009844566	
577.310377675897	95634.56	0.01416461	
577.599137346073	104157.2	0.009681401	
577.844294011319	93002.59	0.009934224	
579.80617192139	91596.27	0.009816059	
580.077827003239	118360.1	0.009317173	
580.315671521251	77042.52	0.0100291	
580.331647980757	73920.94	0.01273587	
580.79882360188	169262.8	0.009662866	
580.831116648159	78480.3	0.01228405	
581.300945708934	186334.2	0.008807504	
582.480825757578	680697.6	0.01089758	
582.684166157578	121707.5	0.01024933	
582.882943051444	102924.3	0.008575104	
583.085359684763	99605.63	0.01072518	
583.284271758547	137324.4	0.01101275	
584.268025094558	86575.23	0.01147742	
584.312854767855	91107.55	0.01028397	
585.304943687436	101676.3	0.01104297	
585.573390563735	89260.67	0.009190953	
585.824969664757	76249.73	0.0104084	
586.378276098202	1160524	0.01026738	
587.381416461289	331132.3	0.01036874	
587.817273791306	108875.3	0.009248411	
587.985007791608	79134.16	0.009742163	
588.291577613809	549697.6	0.01013761	
588.372531858428	593719.3	0.01061629	
588.62566123098	781393.9	0.01069886	
588.960226035276	428025.4	0.01033065	
589.293117435074	247004.6	0.01074945	
589.376522677152	143180.1	0.0110048	
589.965326750425	72917.88	0.01162466	
590.284051677498	72312.88	0.01160594	
590.634652294472	76602.36	0.009746882	
591.043606292342	96337.55	0.01230906	
591.519246537268	78370.03	0.0110945	
591.810372829952	130526.7	0.01180736	
591.90931778027	83244.69	0.01346542	
592.466251400327	92429.59	0.01148377	
592.754234768718	146312.9	0.01131796	
592.98505794754	100054.1	0.01234539	
593.322172701226	121087.5	0.0100707	
593.633933332861	74813.19	0.0130288	
593.937575429376	72312.23	0.01101038	
595.331840337629	76417.63	0.01178769	
596.425333670081	78771.02	0.01720419	
597.345305183955	1054384	0.01078197	
597.595841611377	858721.2	0.01074659	
597.8469049821	957256.1	0.01076484	
598.055705565777	109812.4	0.01125513	
598.096240844052	252054.7	0.01258977	
600.163361804459	133014.6	0.009062486	
600.502153617852	339685	0.01018595	
600.8480054829	70063.75	0.01253217	
601.31271987138	99357.33	0.01333429	
601.663340891753	339056.2	0.01052194	
601.997571970302	574586.6	0.01024114	
602.482372438057	142627.9	0.01319652	
603.80590610172	77348.22	0.01203097	
603.958513910519	95869.45	0.01347832	
604.547979806958	89613.39	0.01299273	
604.715749452911	101022.7	0.008454476	
604.79269623971	81523.91	0.01168891	
605.096216600787	88743.17	0.01124347	
606.068975252956	71142.47	0.01201254	
607.693857604454	72488.95	0.01049371	
608.048211731816	92552.95	0.008988489	
608.300564484653	141778.5	0.01141489	
608.353924215756	86009.64	0.0107138	
608.804042685564	71173.63	0.01128065	
608.833154821381	131915.5	0.01323886	
609.08480003844	86557.52	0.01024162	
609.3589995896	169645.1	0.01035442	
609.695337336477	110536.1	0.01452621	
609.905804740453	76167.58	0.01248384	
610.327924970297	89564.27	0.01273135	
611.058741115041	197992.2	0.01077084	
611.652758947382	143399.6	0.01198223	
612.344429011241	91436.17	0.01918853	
612.565309182459	93145.78	0.009532598	
613.342686932218	115641.6	0.01082753	
613.628400079204	83997.36	0.01084694	
613.964963870328	79289.94	0.009009921	
614.061104020669	81748.91	0.01051582	
614.803945825736	93257.75	0.01100931	
615.088471651042	136174.2	0.01244972	
615.303238848319	78321.45	0.01060297	
616.664009754167	89452.91	0.01185234	
616.815763203449	82382.64	0.01997321	
617.305269553636	221539.6	0.01067129	
617.508998879548	71295.08	0.01229961	
617.987285498549	87539.91	0.01354929	
618.648173144837	98913.42	0.01364384	
618.752250478361	77612.97	0.01091266	
618.822731156451	91393.64	0.01307085	
